String	Airline	Airline name	Origin	Op. days	Equipment	Service type	Seats	Time	Hub time	Hour	D/A	Year	Airline category	Pair	Ground time	Pair class
5WN2040_2A	5W		cat2		B737	J		08:07:00		8	A	2040	5W	5WN2040_2D	30	standard_turn
OTHN2040_2A	OTH		cat2		B737	J		08:07:00		8	A	2040	OTH	OTHN2040_2D	30	standard_turn
SWN2040_2A	SW		cat2		B737	J		08:07:00		8	A	2040	SW	SWN2040_2D	30	standard_turn
XYN2040_2A	XY		cat2		B737	J		08:07:00		8	A	2040	XY	XYN2040_2D	30	standard_turn
F3N2040_5A	F3		cat1		A321	J		08:28:00		8	A	2040	F3	F3N2040_5D	30	standard_turn
F3N2040_6A	F3		cat1		A321	J		08:35:00		8	A	2040	F3	F3N2040_9D	51	standard_turn
F3N2040_7A	F3		cat1		A321	J		08:42:00		8	A	2040	F3	F3N2040_6D	1403	night_stop
F3N2040_8A	F3		cat1		A321	J		08:49:00		8	A	2040	F3	F3N2040_7D	1403	night_stop
F3N2040_10A	F3		cat1		A350	J		09:03:00		9	A	2040	F3	F3N2040_10D	30	standard_turn
F3N2040_9A	F3		cat1		A321	J		09:56:00		9	A	2040	F3	F3N2040_8D	1343	night_stop
F3N2040_11A	F3		cat1		A350	J		10:10:00		10	A	2040	F3	F3N2040_11D	30	standard_turn
F3N2040_12A	F3		cat1		A350	J		13:17:00		13	A	2040	F3	F3N2040_12D	30	standard_turn
F3N2040_13A	F3		cat5		A350	J		14:24:00		14	A	2040	F3	F3N2040_13D	30	standard_turn
F3N2040_14A	F3		cat6		A350	J		15:31:00		15	A	2040	F3	F3N2040_15D	97	standard_turn
F3N2040_15A	F3		cat7		A350	J		17:38:00		17	A	2040	F3	F3N2040_14D	1283	night_stop
F3N2040_16A	F3		cat1		B737	J		17:45:00		17	A	2040	F3	F3N2040_16D	1410	night_stop
F3N2040_17A	F3		cat1		B737	J		17:52:00		17	A	2040	F3	F3N2040_17D	1410	night_stop
F3N2040_18A	F3		cat1		B757	J		17:59:00		17	A	2040	F3	F3N2040_19D	37	standard_turn
F3N2040_19A	F3		cat1		B757	J		18:06:00		18	A	2040	F3	F3N2040_18D	1403	night_stop
F3N2040_20A	F3		cat1		B787	J		18:13:00		18	A	2040	F3	F3N2040_20D	30	standard_turn
F3N2040_21A	F3		cat1		B787	J		18:20:00		18	A	2040	F3	F3N2040_21D	30	standard_turn
F3N2040_22A	F3		cat1		B787	J		18:27:00		18	A	2040	F3	F3N2040_22D	30	standard_turn
F3N2040_23A	F3		cat1		B787	J		19:34:00		19	A	2040	F3	F3N2040_23D	1410	night_stop
F3N2040_24A	F3		cat1		E190	J		19:41:00		19	A	2040	F3	F3N2040_24D	1410	night_stop
SV1680_SP	SV		RUH	2 4 6	333	J	288	00:30:00		0	D	2040	SV	SV1679_SP	0	standard_turn
XY436_SP	XY		JED	1234567	32N	J	170	01:05:00		1	D	2040	XY	XY435_SP	0	standard_turn
F3438_SP	F3		DMM	1234567	320	J	186	01:30:00		1	D	2040	F3	F3437_SP	0	standard_turn
SV1643_SP	SV		JED	1234567	320	J	144	01:45:00		1	D	2040	SV	SV1640_SP	0	standard_turn
F328_SP	F3		RUH	1234567	320	J	186	02:20:00		2	D	2040	F3	F327_SP	0	standard_turn
SV1645_SP	SV		JED	1234567	320	J	144	04:45:00		4	D	2040	SV	SV1642_SP	0	standard_turn
XY782_SP	XY		TUU	12 4 6	32N	J	170	05:40:00		5	D	2040	XY	XY781_SP	0	standard_turn
F3336_SP	F3		JED	1234567	320	J	186	05:50:00		5	D	2040	F3	F3335_SP	0	standard_turn
F314_SP	F3		RUH	1234567	320	J	186	06:20:00		6	D	2040	F3	F313_SP	0	standard_turn
SV1662_SP	SV		RUH	1234567	330	J	330	06:50:00		6	D	2040	SV	SV1661_SP	0	standard_turn
SM444_SP	SM		CAI	1 34	320	J	180	06:50:00		6	D	2040	SM	SM443_SP	0	standard_turn
XY84_SP	XY		RUH	1234567	32N	J	170	07:45:00		7	D	2040	XY	XY83_SP	0	standard_turn
