sheet	section	measure	row	split	year	value
Base	30th BHRs - New Terminal		Departures	Total	2030	1411
Base	30th BHRs - New Terminal		Departures	Total	2035	1581
Base	30th BHRs - New Terminal		Departures	Total	2040	1671
Base	30th BHRs - New Terminal		Departures	Total	2045	1759
Base	30th BHRs - Overall		2-way	Schengen	2025	1523
Base	30th BHRs - Overall		2-way	Schengen	2030	2262
Base	30th BHRs - Overall		2-way	Schengen	2035	2700
Base	30th BHRs - Overall		2-way	Schengen	2040	3141
Base	30th BHRs - Overall		2-way	Schengen	2045	3583
Base	30th BHRs - Overall		2-way	Non-Schengen	2025	976
Base	30th BHRs - Overall		2-way	Non-Schengen	2030	1086
Base	30th BHRs - Overall		2-way	Non-Schengen	2035	1253
Base	30th BHRs - Overall		2-way	Non-Schengen	2040	1416
Base	30th BHRs - Overall		2-way	Non-Schengen	2045	1566
Base	30th BHRs - Overall		2-way	Total	2025	1899
Base	30th BHRs - Overall		2-way	Total	2030	2607
Base	30th BHRs - Overall		2-way	Total	2035	3085
Base	30th BHRs - Overall		2-way	Total	2040	3561
Base	30th BHRs - Overall		2-way	Total	2045	4033
Base	30th BHRs - Overall		Arrivals	Schengen	2025	904
Base	30th BHRs - Overall		Arrivals	Schengen	2030	1313
Base	30th BHRs - Overall		Arrivals	Schengen	2035	1542
Base	30th BHRs - Overall		Arrivals	Schengen	2040	1769
Base	30th BHRs - Overall		Arrivals	Schengen	2045	1996
Base	30th BHRs - Overall		Arrivals	Non-Schengen	2025	589
Base	30th BHRs - Overall		Arrivals	Non-Schengen	2030	649
Base	30th BHRs - Overall		Arrivals	Non-Schengen	2035	741
Base	30th BHRs - Overall		Arrivals	Non-Schengen	2040	831
Base	30th BHRs - Overall		Arrivals	Non-Schengen	2045	913
Base	30th BHRs - Overall		Arrivals	Total	2025	1086
Base	30th BHRs - Overall		Arrivals	Total	2030	1486
Base	30th BHRs - Overall		Arrivals	Total	2035	1755
Base	30th BHRs - Overall		Arrivals	Total	2040	2023
Base	30th BHRs - Overall		Arrivals	Total	2045	2287
Base	30th BHRs - Overall		Departures	Schengen	2025	920
Base	30th BHRs - Overall		Departures	Schengen	2030	1340
Base	30th BHRs - Overall		Departures	Schengen	2035	1575
Base	30th BHRs - Overall		Departures	Schengen	2040	1807
Base	30th BHRs - Overall		Departures	Schengen	2045	2039
Base	30th BHRs - Overall		Departures	Non-Schengen	2025	623
Base	30th BHRs - Overall		Departures	Non-Schengen	2030	684
Base	30th BHRs - Overall		Departures	Non-Schengen	2035	780
Base	30th BHRs - Overall		Departures	Non-Schengen	2040	872
Base	30th BHRs - Overall		Departures	Non-Schengen	2045	956
Base	30th BHRs - Overall		Departures	Total	2025	1120
Base	30th BHRs - Overall		Departures	Total	2030	1520
Base	30th BHRs - Overall		Departures	Total	2035	1782
Base	30th BHRs - Overall		Departures	Total	2040	2041
Base	30th BHRs - Overall		Departures	Total	2045	2296
Base	30th BHRs - Overall		Transfers		2025	237
Base	30th BHRs - Overall		Transfers		2030	277
Base	30th BHRs - Overall		Transfers		2035	323
Base	30th BHRs - Overall		Transfers		2040	369
Base	30th BHRs - Overall		Transfers		2045	414
Base	Peak Runway Movements		Overall peak		2025	20
Base	Peak Runway Movements		Overall peak		2030	24
Base	Peak Runway Movements		Overall peak		2035	27
