sheet	section	measure	row	split	year	value
Base	Stands - by Stand Code - Commercial	Individual Peak	A		2025	0.0
Base	Stands - by Stand Code - Commercial	Individual Peak	B		2025	1.2
Base	Stands - by Stand Code - Commercial	Individual Peak	C		2025	19.0
Base	Stands - by Stand Code - Commercial	Individual Peak	D		2025	0.0
Base	Stands - by Stand Code - Commercial	Individual Peak	E		2025	1.2
Base	Stands - by Stand Code - Non Commercial	Overall peak	A		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overall peak	B		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overall peak	C		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overall peak	D		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overall peak	E		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overall peak	Total		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overnight Peak	A		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overnight Peak	B		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overnight Peak	C		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overnight Peak	D		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overnight Peak	E		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overnight Peak	Total		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Individual Peak	A		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Individual Peak	B		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Individual Peak	C		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Individual Peak	D		2025	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Individual Peak	E		2025	FLAG: GA input
Base	Stands - by Stand Code - Overall	Overall peak	A		2025	2.0
Base	Stands - by Stand Code - Overall	Overall peak	B		2025	6.0
Base	Stands - by Stand Code - Overall	Overall peak	C		2025	21.0
Base	Stands - by Stand Code - Overall	Overall peak	D		2025	0.0
Base	Stands - by Stand Code - Overall	Overall peak	E		2025	0.0
Base	Stands - by Stand Code - Overall	Overall peak	Total		2025	29.0
Base	Stands - by Stand Code - Overall	Overnight Peak	A		2025	2.0
Base	Stands - by Stand Code - Overall	Overnight Peak	B		2025	4.0
Base	Stands - by Stand Code - Overall	Overnight Peak	C		2025	20.0
Base	Stands - by Stand Code - Overall	Overnight Peak	D		2025	0.0
Base	Stands - by Stand Code - Overall	Overnight Peak	E		2025	0.0
Base	Stands - by Stand Code - Overall	Overnight Peak	Total		2025	26.0
Base	Stands - by Stand Code - Overall	Individual Peak	A		2025	3.0
Base	Stands - by Stand Code - Overall	Individual Peak	B		2025	9.2
Base	Stands - by Stand Code - Overall	Individual Peak	C		2025	22.0
Base	Stands - by Stand Code - Overall	Individual Peak	D		2025	2.0
Base	Stands - by Stand Code - Overall	Individual Peak	E		2025	2.2
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	A		2025	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	B		2025	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	C		2025	8.5
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	D		2025	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	E		2025	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	Total		2025	8.5
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	A		2025	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	B		2025	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	C		2025	6.6
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	D		2025	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	E		2025	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	Total		2025	6.6
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	A		2025	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	B		2025	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	C		2025	8.5
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	D		2025	0.0
Stand Scenario	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	E		2025	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overall peak	A		2025	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overall peak	B		2025	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overall peak	C		2025	14.3
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overall peak	D		2025	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overall peak	E		2025	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overall peak	Total		2025	14.3
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	A		2025	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	B		2025	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	C		2025	14.3
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	D		2025	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	E		2025	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	Total		2025	14.3
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	A		2025	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	B		2025	1.2
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	C		2025	14.3
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	D		2025	0.0
Stand Scenario	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	E		2025	1.2
Stand Scenario	Stands - by Stand Code - Commercial	Overall peak	A		2025	0.0
Stand Scenario	Stands - by Stand Code - Commercial	Overall peak	B		2025	0.0
Stand Scenario	Stands - by Stand Code - Commercial	Overall peak	C		2025	19.0
Stand Scenario	Stands - by Stand Code - Commercial	Overall peak	D		2025	0.0
Stand Scenario	Stands - by Stand Code - Commercial	Overall peak	E		2025	0.0
Stand Scenario	Stands - by Stand Code - Commercial	Overall peak	Total		2025	19.0
Stand Scenario	Stands - by Stand Code - Commercial	Overnight Peak	A		2025	0.0
Stand Scenario	Stands - by Stand Code - Commercial	Overnight Peak	B		2025	0.0
Stand Scenario	Stands - by Stand Code - Commercial	Overnight Peak	C		2025	19.0
Stand Scenario	Stands - by Stand Code - Commercial	Overnight Peak	D		2025	0.0
Stand Scenario	Stands - by Stand Code - Commercial	Overnight Peak	E		2025	0.0
Stand Scenario	Stands - by Stand Code - Commercial	Overnight Peak	Total		2025	19.0
Stand Scenario	Stands - by Stand Code - Commercial	Individual Peak	A		2025	0.0
Stand Scenario	Stands - by Stand Code - Commercial	Individual Peak	B		2025	1.2
Stand Scenario	Stands - by Stand Code - Commercial	Individual Peak	C		2025	19.0
Stand Scenario	Stands - by Stand Code - Commercial	Individual Peak	D		2025	0.0
Stand Scenario	Stands - by Stand Code - Commercial	Individual Peak	E		2025	1.2
Stand Scenario	Stands - by Stand Code - Non Commercial	Overall peak	A		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Overall peak	B		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Overall peak	C		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Overall peak	D		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Overall peak	E		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Overall peak	Total		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Overnight Peak	A		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Overnight Peak	B		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Overnight Peak	C		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Overnight Peak	D		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Overnight Peak	E		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Overnight Peak	Total		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Individual Peak	A		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Individual Peak	B		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Individual Peak	C		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Individual Peak	D		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Non Commercial	Individual Peak	E		2025	FLAG: GA input
Stand Scenario	Stands - by Stand Code - Overall	Overall peak	A		2025	2.0
Stand Scenario	Stands - by Stand Code - Overall	Overall peak	B		2025	6.0
Stand Scenario	Stands - by Stand Code - Overall	Overall peak	C		2025	21.0
Stand Scenario	Stands - by Stand Code - Overall	Overall peak	D		2025	0.0
Stand Scenario	Stands - by Stand Code - Overall	Overall peak	E		2025	0.0
Stand Scenario	Stands - by Stand Code - Overall	Overall peak	Total		2025	29.0
Stand Scenario	Stands - by Stand Code - Overall	Overnight Peak	A		2025	2.0
Stand Scenario	Stands - by Stand Code - Overall	Overnight Peak	B		2025	4.0
Stand Scenario	Stands - by Stand Code - Overall	Overnight Peak	C		2025	20.0
Stand Scenario	Stands - by Stand Code - Overall	Overnight Peak	D		2025	0.0
Stand Scenario	Stands - by Stand Code - Overall	Overnight Peak	E		2025	0.0
Stand Scenario	Stands - by Stand Code - Overall	Overnight Peak	Total		2025	26.0
Stand Scenario	Stands - by Stand Code - Overall	Individual Peak	A		2025	3.0
Stand Scenario	Stands - by Stand Code - Overall	Individual Peak	B		2025	9.2
Stand Scenario	Stands - by Stand Code - Overall	Individual Peak	C		2025	22.0
Stand Scenario	Stands - by Stand Code - Overall	Individual Peak	D		2025	2.0
Stand Scenario	Stands - by Stand Code - Overall	Individual Peak	E		2025	2.2
Base	30th BHRs - Old Terminal		2-way	Schengen	2030	1329.5
Base	30th BHRs - Old Terminal		2-way	Non-Schengen	2030	806.1
Base	30th BHRs - Old Terminal		2-way	Total	2030	1617.3
Base	30th BHRs - Old Terminal		Arrivals	Schengen	2030	959.7
Base	30th BHRs - Old Terminal		Arrivals	Non-Schengen	2030	601.5
Base	30th BHRs - Old Terminal		Arrivals	Total	2030	1152.8
Base	30th BHRs - Old Terminal		Departures	Schengen	2030	985.6
Base	30th BHRs - Old Terminal		Departures	Non-Schengen	2030	461.3
Base	30th BHRs - Old Terminal		Departures	Total	2030	1076.8
Base	30th BHRs - New Terminal		2-way	Schengen	2030	1089.1
Base	30th BHRs - New Terminal		2-way	Non-Schengen	2030	796.6
Base	30th BHRs - New Terminal		2-way	Total	2030	1638.7
Base	30th BHRs - New Terminal		Arrivals	Schengen	2030	735.4
Base	30th BHRs - New Terminal		Arrivals	Non-Schengen	2030	367.8
Base	30th BHRs - New Terminal		Arrivals	Total	2030	850.3
Base	30th BHRs - New Terminal		Departures	Schengen	2030	811.8
Base	30th BHRs - New Terminal		Departures	Non-Schengen	2030	587.2
Base	30th BHRs - New Terminal		Departures	Total	2030	962.6
Base	30th BHRs - Overall		2-way	Schengen	2030	1780.0
Base	30th BHRs - Overall		2-way	Non-Schengen	2030	1076.4
Base	30th BHRs - Overall		2-way	Total	2030	2642.6
Base	30th BHRs - Overall		Arrivals	Schengen	2030	1090.3
Base	30th BHRs - Overall		Arrivals	Non-Schengen	2030	806.4
Base	30th BHRs - Overall		Arrivals	Total	2030	1444.0
Base	30th BHRs - Overall		Departures	Schengen	2030	1153.8
Base	30th BHRs - Overall		Departures	Non-Schengen	2030	659.2
Base	30th BHRs - Overall		Departures	Total	2030	1504.5
Base	30th BHRs - Overall		Transfers		2030	224.4
Base	Peak Runway Movements		Overall peak		2030	22.8
Base	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	A		2030	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	B		2030	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	C		2030	11.5
Base	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	D		2030	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	E		2030	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	Total		2030	11.5
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	A		2030	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	B		2030	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	C		2030	9.4
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	D		2030	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	E		2030	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	Total		2030	9.4
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	A		2030	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	B		2030	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	C		2030	11.5
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	D		2030	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	E		2030	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	A		2030	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	B		2030	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	C		2030	16.1
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	D		2030	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	E		2030	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	Total		2030	16.1
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	A		2030	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	B		2030	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	C		2030	16.1
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	D		2030	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	E		2030	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	Total		2030	16.1
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	A		2030	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	B		2030	1.4
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	C		2030	16.1
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	D		2030	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	E		2030	1.4
Base	Stands - by Stand Code - Commercial	Overall peak	A		2030	0.0
Base	Stands - by Stand Code - Commercial	Overall peak	B		2030	0.0
Base	Stands - by Stand Code - Commercial	Overall peak	C		2030	23.1
Base	Stands - by Stand Code - Commercial	Overall peak	D		2030	0.0
Base	Stands - by Stand Code - Commercial	Overall peak	E		2030	0.0
Base	Stands - by Stand Code - Commercial	Overall peak	Total		2030	23.1
Base	Stands - by Stand Code - Commercial	Overnight Peak	A		2030	0.0
Base	Stands - by Stand Code - Commercial	Overnight Peak	B		2030	0.0
Base	Stands - by Stand Code - Commercial	Overnight Peak	C		2030	23.1
Base	Stands - by Stand Code - Commercial	Overnight Peak	D		2030	0.0
Base	Stands - by Stand Code - Commercial	Overnight Peak	E		2030	0.0
Base	Stands - by Stand Code - Commercial	Overnight Peak	Total		2030	23.1
Base	Stands - by Stand Code - Commercial	Individual Peak	A		2030	0.0
