#	Flight direction	Block time	Airline	Aircraft code	Domestic/International	Passengers	Type
134	D	20:57:00	F3	B787			Commercial
135	D	21:00:00	SV	320			Commercial
136	D	21:04:00	F3	E190			Commercial
137	A	21:25:00	SV	333			Commercial
138	A	21:34:00	F3	E190			Commercial
139	A	21:50:00	SV	320			Commercial
140	A	21:50:00	E5	320			Commercial
141	D	22:15:00	SV	333			Commercial
142	D	22:30:00	SV	320			Commercial
143	A	22:35:00	F3	320			Commercial
144	A	22:45:00	F3	320			Commercial
145	D	22:50:00	E5	320			Commercial
146	D	23:15:00	F3	320			Commercial
147	D	23:25:00	F3	320			Commercial
148	A	23:40:00	SV	330			Commercial
