			String	Airline		Origin	Op. days	Equipment	Service type	Seats	Time	Hub time	Hour	D/A	Year	Country	Region	Airline category	DD region	Other region	Xx	Pair	Ground time	Pax	Transfer	O&D	Chart data	Aircraft code	Type	
			XY85_SP	XY		RUH		32N	J	170		16:30:00	16	A	2025	Saudi Arabia	Saudi Arabia	XY				XY86_SP	45							
			XY91_SP	XY		RUH		32N	J	170		20:10:00	20	A	2025	Saudi Arabia	Saudi Arabia	XY				XY92_SP	45							
			E5512_SP	E5		CAI		320	J	170		22:50:00	22	D	2025	Egypt	Africa	E5				E5511_SP	0							
			F3438_SP	F3		DMM		320	J	186		01:30:00	1	D	2025	Saudi Arabia	Saudi Arabia	F3				F3437_SP	0							
			F328_SP	F3		RUH		320	J	186		02:20:00	2	D	2025	Saudi Arabia	Saudi Arabia	F3				F327_SP	0							
			F3336_SP	F3		JED		320	J	186		05:50:00	5	D	2025	Saudi Arabia	Saudi Arabia	F3				F3335_SP	0							
			F314_SP	F3		RUH		320	J	186		06:20:00	6	D	2025	Saudi Arabia	Saudi Arabia	F3				F313_SP	0							
			F3334_SP	F3		JED		320	J	186		08:15:00	8	D	2025	Saudi Arabia	Saudi Arabia	F3				F3333_SP	0							
			F316_SP	F3		RUH		320	J	186		11:40:00	11	D	2025	Saudi Arabia	Saudi Arabia	F3				F315_SP	0							
			F3338_SP	F3		JED		320	J	186		13:45:00	13	D	2025	Saudi Arabia	Saudi Arabia	F3				F3337_SP	0							
			F318_SP	F3		RUH		320	J	186		14:00:00	14	D	2025	Saudi Arabia	Saudi Arabia	F3				F317_SP	0							
			F320_SP	F3		RUH		320	J	186		17:40:00	17	D	2025	Saudi Arabia	Saudi Arabia	F3				F319_SP	0							
			F3432_SP	F3		DMM		320	J	186		17:40:00	17	D	2025	Saudi Arabia	Saudi Arabia	F3				F3431_SP	0							
			F3342_SP	F3		JED		320	J	186		18:05:00	18	D	2025	Saudi Arabia	Saudi Arabia	F3				F3341_SP	0							
			F322_SP	F3		RUH		320	J	186		19:05:00	19	D	2025	Saudi Arabia	Saudi Arabia	F3				F321_SP	0							
			F324_SP	F3		RUH		320	J	186		20:40:00	20	D	2025	Saudi Arabia	Saudi Arabia	F3				F323_SP	0							
			F3436_SP	F3		DMM		320	J	186		23:15:00	23	D	2025	Saudi Arabia	Saudi Arabia	F3				F3435_SP	0							
			F3346_SP	F3		JED		320	J	186		23:25:00	23	D	2025	Saudi Arabia	Saudi Arabia	F3				F3345_SP	0							
			FZ816_SP	FZ		DXB		7M8	J	174		13:15:00	13	D	2025	United Arab Emirates	GCC	FZ				FZ815_SP	0							
			FZ814_SP	FZ		DXB		7M8	J	174		18:55:00	18	D	2025	United Arab Emirates	GCC	FZ				FZ813_SP	0							
			G9196_SP	G9		SHJ		320	J	174		15:20:00	15	D	2025	United Arab Emirates	GCC	G9				G9195_SP	0							
			QR1213_SP	QR		DOH		320	J	144		12:40:00	12	D	2025	Qatar	GCC	QR				QR1212_SP	0							
			SM444_SP	SM		CAI		320	J	180		06:50:00	6	D	2025	Egypt	Africa	SM				SM443_SP	0							
			SV1643_SP	SV		JED		320	J	144		01:45:00	1	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1640_SP	0							
			SV1645_SP	SV		JED		320	J	144		04:45:00	4	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1642_SP	0							
			SV1647_SP	SV		JED		320	J	144		08:40:00	8	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1644_SP	0							
			SV1664_SP	SV		RUH		320	J	144		08:50:00	8	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1663_SP	0							
			SV1670_SP	SV		RUH		320	J	144		12:35:00	12	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1669_SP	0							
			SV1649_SP	SV		JED		320	J	144		14:15:00	14	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1646_SP	0							
			SV1653_SP	SV		JED		320	J	144		19:50:00	19	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1650_SP	0							
			SV1678_SP	SV		RUH		320	J	144		21:00:00	21	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1677_SP	0							
			SV1674_SP	SV		RUH		320	J	144		22:30:00	22	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1673_SP	0							
			SV1662_SP	SV		RUH		330	J	330		06:50:00	6	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1661_SP	0							
			SV1676_SP	SV		RUH		330	J	330		18:35:00	18	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1675_SP	0							
